"filename", "language", "PLSQL", "XML", "C#", "JSON", "Properties", "JSON with Comments", "Markdown", "SCSS", "HTML", "TypeScript", "comment", "blank", "total"
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\Interfaces\IVisitedCountry.cs", "C#", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\Interfaces\IVoyageRepository.cs", "C#", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\MaritimeApp.Domain.csproj", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\bin\Debug\net9.0\MaritimeApp.Domain.deps.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\obj\Debug\net9.0\MaritimeApp.Domain.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 5, 23
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\obj\Debug\net9.0\MaritimeApp.Domain.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\obj\Debug\net9.0\MaritimeApp.Domain.GlobalUsings.g.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\obj\Debug\net9.0\MaritimeApp.Domain.sourcelink.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\obj\MaritimeApp.Domain.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 74
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\obj\MaritimeApp.Domain.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\obj\MaritimeApp.Domain.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Jobs\NAPA group\backend\MaritimeApp.Domain\obj\project.assets.json", "JSON", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 80
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\Class1.cs", "C#", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\Data\MaritimeDbContext.cs", "C#", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 1, 18, 139
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\MaritimeApp.Infrastructure.csproj", "XML", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\Repositories\CompanyRepository.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\Repositories\CountryRepository.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\Repositories\PortRepository.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\Repositories\Repository.cs", "C#", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 10, 48
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\Repositories\ShipCompanyRelationRepositort.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\Repositories\ShipLocationLog.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\Repositories\ShipRepository.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\Repositories\ShipSpecificationRepository.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\Repositories\ShipTypeRepository.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\Repositories\VisitedCountry.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\Repositories\VoyageRepository.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\bin\Debug\net9.0\MaritimeApp.Infrastructure.deps.json", "JSON", 0, 0, 0, 1021, 0, 0, 0, 0, 0, 0, 0, 0, 1021
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\bin\Debug\net9.0\MaritimeApp.Infrastructure.runtimeconfig.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 19
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\obj\Debug\net9.0\MaritimeApp.Infrastructure.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 5, 23
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\obj\Debug\net9.0\MaritimeApp.Infrastructure.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\obj\Debug\net9.0\MaritimeApp.Infrastructure.GlobalUsings.g.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\obj\Debug\net9.0\MaritimeApp.Infrastructure.sourcelink.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\obj\MaritimeApp.Infrastructure.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 239
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\obj\MaritimeApp.Infrastructure.csproj.nuget.g.props", "XML", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\obj\MaritimeApp.Infrastructure.csproj.nuget.g.targets", "XML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"d:\Jobs\NAPA group\backend\MaritimeApp.Infrastructure\obj\project.assets.json", "JSON", 0, 0, 0, 3325, 0, 0, 0, 0, 0, 0, 0, 0, 3325
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\Controllers\ShipsController.cs", "C#", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 23, 126
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\DependencyInjection\ServiceRegistration.cs", "C#", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 6, 36
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\MaritimeApp.WebAPI.csproj", "XML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\Program.cs", "C#", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 9, 36
"d:\Jobs\NAPA group\backend\MaritimeApp.WebAPI\Properties\launchSettings.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
